Date,EColi
2016-12-01,370.0
2016-12-06,150.0
2016-12-13,49.0
2016-12-20,75.0
2016-12-27,74.0
2017-01-04,1600.0
2017-01-10,86.0
2017-01-17,54.0
2017-01-24,190.0
2017-01-31,68.0
2017-02-07,69.0
2017-02-14,110.0
2017-02-22,90.0
2017-02-28,99.0
2017-03-07,44.0
2017-03-14,84.0
2017-03-21,12.0
2017-03-28,180.0
2017-04-04,4500.0
2017-04-18,210.0
2017-04-26,8.0
2017-11-07,84.0
2017-11-14,31.0
2017-11-20,
2017-11-21,
2017-11-28,63.0
2017-12-05,10.0
2017-12-12,158.0
2017-12-18,20.0
2017-12-19,20.0
2017-12-28,41.0
2018-01-04,185.0
2018-01-09,63.0
2018-01-16,
2018-01-24,96.0
2018-01-30,5480.0
2018-02-07,31.0
2018-02-13,94.0
2018-02-20,63.0
2018-02-27,148.0
2018-03-06,86.0
2018-03-13,158.0
2018-03-20,52.0
2018-03-27,74.0
2018-04-03,74.0
2018-04-12,399.0
2018-04-17,63.0
2018-11-13,2359.0
2018-11-20,164.0
2018-11-27,327.0
2018-12-04,1187.0
2018-12-11,98.0
2018-12-18,122.0
2018-12-27,350.0
2019-01-03,20.0
2019-01-08,20.0
2019-01-15,4880.0
2019-01-22,145.0
2019-01-30,52.0
2019-02-05,41.0
2019-02-12,97.0
2019-02-19,20.0
2019-02-26,109.0
2019-03-05,10.0
2019-03-12,119.0
2019-03-19,52.0
2019-03-26,20.0
2019-04-02,1842.0
2019-04-09,20.0
2019-04-17,10.0
2019-04-26,52.0
2019-05-01,134.0
2019-11-12,573.0
2019-11-19,185.0
2019-11-20,185.0
2019-11-27,31.0
2019-12-03,388.0
2019-12-10,345.0
2019-12-17,408.0
2019-12-23,161.0
2019-12-30,85.0
2020-01-07,75.0
2020-01-15,10.0
2020-01-21,52.0
2020-01-28,52.0
2020-02-03,20.0
2020-02-11,20.0
2020-02-18,134.0
2020-02-25,30.0
2020-03-04,1515.0
2020-03-10,435.0
2020-03-18,223.0
2020-11-03,145.0
2020-11-10,305.0
2020-11-17,31.0
2020-11-24,97.0
2020-12-01,450.0
2020-12-08,3450.0
2020-12-15,20.0
2020-12-22,75.0
2020-12-29,52.0
2021-01-05,288.0
2021-01-12,122.0
2021-01-19,30.0
2021-01-26,20.0
2021-02-02,20.0
2021-02-09,85.0
2021-02-16,110.0
2021-02-23,10.0
2021-03-04,683.0
2021-03-09,109.0
2021-03-16,10.0
2021-03-23,10.0
2021-03-30,369.0
2021-04-06,63.0
2021-04-13,9.0
2021-04-20,85.0
2021-04-27,134.0
2021-11-01,228.0
2021-11-09,
2021-11-15,624.0
2021-11-22,243.0
2021-11-29,20.0
2021-12-07,
2021-12-14,1296.0
2021-12-21,10.0
2021-12-28,63.0
2022-01-04,75.0
2022-01-11,41.0
2022-01-18,52.0
2022-01-25,75.0
2022-02-01,121.0
2022-02-09,213.0
2022-02-15,269.0
2022-02-22,279.0
2022-03-01,74.0
2022-03-08,74.0
2022-03-15,97.0
2022-03-22,10500.0
2022-03-29,108.0
2022-04-05,175.0
2022-04-12,74.0
2022-04-20,20.0
2022-04-27,52.0
2022-11-02,364.0
2022-11-08,284.0
2022-11-15,160.0
2022-11-22,1106.0
2022-11-29,185.0
2022-12-06,97.0
2022-12-13,573.0
2022-12-20,341.0
2022-12-29,52.0
2023-01-05,86.0
2023-01-10,121.0
2023-01-17,107.0
2023-01-25,7700.0
2023-01-31,305.0
2023-02-08,75.0
2023-02-14,2760.0
2023-02-21,10.0
2023-02-28,862.0
2023-03-07,85.0
2023-03-14,1126.0
2023-03-21,75.0
2023-03-28,146.0
2023-04-04,83.0
2023-04-12,256.0
2023-04-18,110.0
2023-04-27,121.0
2023-11-07,987.0
2023-11-15,96.0
2023-11-22,139.0
2023-11-29,987.0
2023-12-06,160.0
2023-12-13,75.0
2023-12-20,75.0
2023-12-29,262.0
2024-01-05,145.0
2024-01-10,134.0
2024-01-17,565.0
2024-01-25,383.0
2024-01-31,595.0
2024-02-08,121.0
2024-02-14,41.0
2024-02-21,122.0
2024-02-29,119.0
2024-03-06,1250.0
2024-03-13,134.0
2024-03-20,109.0
2024-03-27,20.0
2024-04-04,122.0
2024-04-10,85.0
2024-04-17,122.0
2024-04-24,189.0
2024-11-05,1081.0
2024-11-12,355.0
2024-11-19,63.0
2024-11-26,75.0
2024-12-03,189.0
2024-12-11,305.0
2024-12-17,85.0
2024-12-23,231.0
2024-12-30,144.0
2025-01-07,10.0
2025-01-14,20.0
2025-01-21,75.0
2025-01-29,98.0
2025-02-04,52.0
2025-02-11,583.0
2025-02-18,318.0
2025-02-25,41.0
2025-03-03,20.0
2025-03-11,63.0
2025-03-18,175.0
2025-03-25,75.0
2025-04-01,717.0
2025-04-07,166.0
2025-04-14,41.0
2025-04-22,1674.0
2025-04-28,63.0
2025-11-05,75.0
2025-11-11,1455.0
2025-11-18,146.0
2025-11-25,256.0
2025-12-02,85.0
2025-12-09,122.0
2025-12-16,73.0
2025-12-23,86.0
2025-12-30,75.0
2026-01-05,275.0
2026-01-13,161.0
2026-01-20,410.0
2026-01-28,134.0
2026-02-03,2480.0
2026-02-10,169.0
2026-02-24,20.0
2026-03-03,96.0
2026-03-10,75.0
2026-03-17,146.0
2026-03-24,86.0
2026-03-31,86.0
2026-04-08,275.0
2026-04-14,2282.0
2026-04-21,594.0
2026-04-29,169.0
