Date,EColi
2016-11-29,610.0
2016-12-05,110.0
2016-12-14,340.0
2016-12-21,25.0
2016-12-29,34.0
2017-01-05,440.0
2017-01-11,75.0
2017-01-18,170.0
2017-01-26,470.0
2017-02-01,8.0
2017-02-09,39.0
2017-02-15,16.0
2017-02-22,1600.0
2017-03-01,85.0
2017-03-08,140.0
2017-03-15,470.0
2017-03-22,16.0
2017-03-29,130.0
2017-04-20,720.0
2017-04-26,85.0
2017-11-07,160.0
2017-11-13,295.0
2017-11-19,20.0
2017-11-28,41.0
2017-12-04,355.0
2017-12-10,63.0
2017-12-19,197.0
2017-12-28,
2018-01-04,146.0
2018-01-09,350.0
2018-01-15,121.0
2018-01-21,41.0
2018-01-30,288.0
2018-02-05,226.0
2018-02-11,
2018-02-20,109.0
2018-02-26,10.0
2018-03-04,84.0
2018-03-13,134.0
2018-03-19,
2018-03-25,20.0
2018-04-03,
2018-04-09,20.0
2018-04-17,3870.0
2018-04-24,393.0
2018-11-12,158.0
2018-11-18,30.0
2018-11-26,98.0
2018-12-03,309.0
2018-12-11,41.0
2018-12-16,311.0
2018-12-24,323.0
2018-12-30,134.0
2019-01-07,148.0
2019-01-13,75.0
2019-01-22,86.0
2019-01-27,51.0
2019-02-04,120.0
2019-02-10,52.0
2019-02-18,336.0
2019-02-24,145.0
2019-03-04,41.0
2019-03-10,201.0
2019-03-19,181.0
2019-03-24,160.0
2019-04-01,86.0
2019-04-07,384.0
2019-04-15,529.0
2019-04-21,31.0
2019-04-30,1723.0
2019-11-04,30.0
2019-11-10,121.0
2019-11-18,426.0
2019-11-24,369.0
2019-12-02,481.0
2019-12-08,253.0
2019-12-16,201.0
2019-12-22,5480.0
2019-12-30,134.0
2020-01-05,74.0
2020-01-13,97.0
2020-01-19,75.0
2020-01-29,108.0
2020-02-02,63.0
2020-02-10,85.0
2020-02-16,31.0
2020-02-24,63.0
2020-03-01,41.0
2020-03-09,85.0
2020-03-15,63.0
2020-03-23,86.0
2020-11-02,218.0
2020-11-08,121.0
2020-11-16,109.0
2020-11-22,63.0
2020-11-30,1145.0
2020-12-06,228.0
2020-12-14,369.0
2020-12-20,20.0
2020-12-28,118.0
2021-01-03,52.0
2021-01-11,110.0
2021-01-17,31.0
2021-01-26,52.0
2021-01-31,9.0
2021-02-09,41.0
2021-02-14,41.0
2021-02-22,31.0
2021-03-01,95.0
2021-03-08,86.0
2021-03-14,598.0
2021-03-28,246.0
2021-04-05,216.0
2021-04-11,63.0
2021-04-19,118.0
2021-04-26,31.0
2021-11-01,1396.0
2021-11-08,51.0
2021-11-15,594.0
2021-11-22,121.0
2021-11-29,30.0
2021-12-06,189.0
2021-12-13,1376.0
2021-12-20,84.0
2021-12-27,31.0
2022-01-03,120.0
2022-01-10,20.0
2022-01-17,74.0
2022-01-24,31.0
2022-01-31,1314.0
2022-02-07,2400.0
2022-02-14,5170.0
2022-02-21,41.0
2022-02-28,75.0
2022-03-07,41.0
2022-03-14,10.0
2022-03-21,52.0
2022-03-28,187.0
2022-04-04,85.0
2022-04-11,41.0
2022-04-19,228.0
2022-04-27,41.0
2022-11-01,11200.0
2022-11-07,161.0
2022-11-14,108.0
2022-11-21,4610.0
2022-11-28,2990.0
2022-12-05,298.0
2022-12-12,336.0
2022-12-19,14100.0
2022-12-26,355.0
2023-01-02,52.0
2023-01-09,905.0
2023-01-16,41.0
2023-01-24,52.0
2023-01-30,8160.0
2023-02-07,441.0
2023-02-13,
2023-02-20,171.0
2023-02-27,73.0
2023-03-06,20.0
2023-03-13,1198.0
2023-03-20,2610.0
2023-03-27,279.0
2023-04-03,75.0
2023-04-11,31.0
2023-04-17,487.0
2023-04-24,1314.0
2023-11-06,75.0
2023-11-13,259.0
2023-11-20,512.0
2023-11-27,1723.0
2023-12-04,41.0
2023-12-11,187.0
2023-12-18,41.0
2023-12-27,288.0
2024-01-03,3440.0
2024-01-08,75.0
2024-01-15,41.0
2024-01-23,404.0
2024-01-29,1391.0
2024-02-05,1529.0
2024-02-12,63.0
2024-02-19,52.0
2024-02-26,98.0
2024-03-04,20.0
2024-03-11,2600.0
2024-03-18,85.0
2024-03-25,41.0
2024-04-02,31.0
2024-04-08,41.0
2024-04-15,2064.0
2024-04-22,8660.0
2024-11-04,292.0
2024-11-11,
2024-11-18,1374.0
2024-11-25,52.0
2024-12-02,
2024-12-09,85.0
2024-12-16,135.0
2024-12-23,41.0
2024-12-30,134.0
2025-01-06,480.0
2025-01-13,20.0
2025-01-21,20.0
2025-01-27,259.0
2025-02-03,97.0
2025-02-10,52.0
2025-02-17,132.0
2025-02-24,41.0
2025-03-03,85.0
2025-03-10,96.0
2025-03-17,31.0
2025-03-24,31.0
2025-04-01,598.0
2025-04-07,109.0
2025-04-14,20.0
2025-04-22,75.0
2025-04-28,63.0
2025-11-03,169.0
2025-11-10,52.0
2025-11-17,173.0
2025-11-27,132.0
2025-12-01,52.0
2025-12-08,420.0
2025-12-15,41.0
2025-12-22,52.0
2025-12-29,108.0
2026-01-07,187.0
2026-01-12,10.0
2026-01-20,393.0
2026-01-26,2046.0
2026-02-02,109.0
2026-02-09,1201.0
2026-02-17,1722.0
2026-02-23,134.0
2026-03-02,134.0
2026-03-10,20.0
2026-03-16,146.0
2026-03-23,31.0
2026-03-30,110.0
2026-04-07,41.0
2026-04-13,187.0
2026-04-20,5170.0
2026-04-28,231.0
