Date,EColi
2016-12-06,3900.0
2016-12-13,92.0
2016-12-20,16.0
2016-12-27,25.0
2017-01-04,610.0
2017-01-10,63.0
2017-01-17,640.0
2017-01-24,420.0
2017-01-31,16.0
2017-02-07,86.0
2017-02-14,38.0
2017-02-22,860.0
2017-02-28,130.0
2017-03-07,20.0
2017-03-14,2900.0
2017-03-21,8.0
2017-03-28,690.0
2017-04-04,2600.0
2017-04-18,5700.0
2017-04-26,64.0
2017-11-07,1130.0
2017-11-14,218.0
2017-11-20,10.0
2017-11-21,10.0
2017-11-28,52.0
2017-12-05,2910.0
2017-12-12,85.0
2017-12-18,52.0
2017-12-19,52.0
2017-12-28,168.0
2018-01-04,613.0
2018-01-09,243.0
2018-01-16,529.0
2018-01-24,703.0
2018-01-30,2380.0
2018-02-07,31.0
2018-02-13,9210.0
2018-02-20,84.0
2018-02-27,85.0
2018-03-06,63.0
2018-03-13,110.0
2018-03-20,
2018-03-27,20.0
2018-04-03,
2018-04-12,4880.0
2018-04-17,15500.0
2018-11-13,132.0
2018-11-20,256.0
2018-11-27,1670.0
2018-12-04,24201.0
2018-12-11,20.0
2018-12-18,175.0
2018-12-27,3870.0
2019-01-03,187.0
2019-01-08,31.0
2019-01-15,373.0
2019-01-22,20.0
2019-01-30,10.0
2019-02-05,30.0
2019-02-12,10.0
2019-02-19,10.0
2019-02-26,119.0
2019-03-05,41.0
2019-03-12,10.0
2019-03-19,20.0
2019-03-26,10.0
2019-04-02,554.0
2019-04-09,41.0
2019-04-17,63.0
2019-04-26,384.0
2019-05-01,1314.0
2019-11-12,7270.0
2019-11-19,3450.0
2019-11-20,3450.0
2019-11-27,52.0
2019-12-03,369.0
2019-12-10,8160.0
2019-12-17,987.0
2019-12-23,571.0
2019-12-30,10.0
2020-01-07,20.0
2020-01-15,10.0
2020-01-21,
2020-01-28,
2020-02-03,
2020-02-11,30.0
2020-02-18,20.0
2020-02-25,63.0
2020-03-04,3280.0
2020-03-10,86.0
2020-03-18,10.0
2020-11-03,813.0
2020-11-10,9210.0
2020-11-17,63.0
2020-11-24,10.0
2020-12-01,1334.0
2020-12-08,738.0
2020-12-15,
2020-12-22,20.0
2020-12-29,121.0
2021-01-05,2910.0
2021-01-12,63.0
2021-01-19,231.0
2021-01-26,20.0
2021-02-02,10.0
2021-02-09,9.0
2021-02-16,327.0
2021-02-23,10.0
2021-03-04,880.0
2021-03-09,134.0
2021-03-16,20.0
2021-03-23,63.0
2021-03-30,249.0
2021-04-06,85.0
2021-04-20,52.0
2021-04-27,41.0
2021-11-01,833.0
2021-11-09,860.0
2021-11-15,3390.0
2021-11-22,75.0
2021-11-29,31.0
2021-12-06,132.0
2021-12-13,7700.0
2021-12-20,
2021-12-27,
2022-01-03,10.0
2022-01-10,
2022-01-17,10.0
2022-01-24,
2022-01-31,
2022-02-08,1725.0
2022-02-14,2359.0
2022-02-21,135.0
2022-02-28,
2022-03-07,20.0
2022-03-14,41.0
2022-03-21,
2022-03-28,160.0
2022-04-04,
2022-04-11,75.0
2022-04-19,52.0
2022-04-26,31.0
2022-11-01,4350.0
2022-11-07,203.0
2022-11-14,663.0
2022-11-21,4110.0
2022-11-28,2610.0
2022-12-05,199.0
2022-12-12,24200.0
2022-12-28,108.0
2023-01-04,10.0
2023-01-09,4110.0
2023-01-16,20.0
2023-01-24,
2023-01-30,5170.0
2023-02-07,932.0
2023-02-13,52.0
2023-02-20,62.0
2023-02-27,345.0
2023-03-06,41.0
2023-03-13,759.0
2023-03-20,650.0
2023-03-27,299.0
2023-04-03,185.0
2023-04-11,122.0
2023-04-17,144.0
2023-04-26,213.0
2023-11-06,20.0
2023-11-14,30.0
2023-11-21,448.0
2023-11-28,262.0
2023-12-05,31.0
2023-12-12,10.0
2023-12-19,
2023-12-28,292.0
2024-01-09,30.0
2024-01-16,4610.0
2024-01-24,2046.0
2024-01-30,480.0
2024-02-07,52.0
2024-02-13,120.0
2024-02-20,
2024-02-28,10.0
2024-03-05,13000.0
2024-03-12,108.0
2024-03-26,
2024-04-03,
2024-04-09,31.0
2024-04-16,689.0
2024-04-23,1019.0
2024-11-04,3255.0
2024-11-11,35.0
2024-11-18,1850.0
2024-11-25,20.0
2024-12-02,
2024-12-10,546.0
2024-12-16,108.0
2024-12-23,62.0
2024-12-30,10.0
2025-01-06,63.0
2025-01-13,
2025-01-20,
2025-01-28,131.0
2025-02-03,
2025-02-11,75.0
2025-02-17,41.0
2025-02-24,20.0
2025-03-03,10.0
2025-03-10,10.0
2025-03-17,20.0
2025-03-25,63.0
2025-03-31,10.0
2025-04-07,75.0
2025-04-22,573.0
2025-04-28,
2025-11-03,110.0
2025-11-10,85.0
2025-11-20,3080.0
2025-11-24,86.0
2025-12-01,108.0
2025-12-08,185.0
2025-12-17,63.0
2025-12-21,41.0
2025-12-29,86.0
2026-01-05,98.0
2026-01-12,
2026-01-19,557.0
2026-01-27,676.0
2026-02-02,31.0
2026-02-09,41.0
2026-02-23,63.0
2026-03-02,134.0
2026-03-09,20.0
2026-03-15,712.0
2026-03-23,31.0
2026-03-30,63.0
2026-04-09,146.0
2026-04-16,1789.0
2026-04-20,5790.0
2026-04-28,98.0
