Date,EColi
2011-11-02,580.0
2011-11-09,3100.0
2011-11-16,170.0
2011-11-23,170.0
2011-11-30,88.0
2011-12-07,4400.0
2011-12-14,390.0
2011-12-21,920.0
2011-12-28,180.0
2012-01-04,3700.0
2012-01-11,2400.0
2012-01-18,520.0
2012-01-25,1400.0
2012-02-01,1700.0
2012-02-08,3500.0
2012-02-15,170.0
2012-02-22,740.0
2012-02-29,140.0
2012-03-07,960.0
2012-03-21,480.0
2012-04-03,280.0
2012-04-11,350.0
2012-04-18,320.0
2012-04-23,66.0
2012-11-07,39.0
2012-11-14,140.0
2012-11-21,240.0
2012-11-28,560.0
2012-12-05,130.0
2012-12-12,230.0
2012-12-19,780.0
2012-12-27,740.0
2013-01-03,97.0
2013-01-09,120.0
2013-01-16,450.0
2013-01-23,130.0
2013-01-30,740.0
2013-02-07,420.0
2013-02-13,270.0
2013-02-20,130.0
2013-02-27,150.0
2013-03-06,58.0
2013-03-13,89.0
2013-03-20,840.0
2013-03-26,1200.0
2013-04-03,68.0
2013-04-10,590.0
2013-04-17,670.0
2013-04-23,150.0
2013-11-06,170.0
2013-11-13,69.0
2013-11-20,200.0
2013-11-27,39.0
2013-12-04,150.0
2013-12-11,220.0
2013-12-18,170.0
2013-12-20,25.0
2013-12-27,48.0
2014-01-03,510.0
2014-01-08,310.0
2014-01-15,58.0
2014-01-29,110.0
2014-02-04,150.0
2014-02-12,170.0
2014-02-19,200.0
2014-02-26,130.0
2014-03-05,280.0
2014-03-12,3300.0
2014-03-19,80.0
2014-03-26,140.0
2014-04-02,64.0
2014-04-09,
2014-04-15,740.0
2014-04-22,420.0
2014-04-30,1500.0
2014-11-05,1800.0
2014-11-12,570.0
2014-11-19,800.0
2014-11-26,220.0
2014-12-03,34.0
2014-12-10,1600.0
2014-12-17,
2014-12-22,190.0
2015-01-07,30.0
2015-01-14,87.0
2015-01-21,250.0
2015-01-28,34.0
2015-02-03,520.0
2015-02-11,150.0
2015-02-18,410.0
2015-02-25,130.0
2015-03-04,470.0
2015-03-11,330.0
2015-03-18,600.0
2015-03-25,140.0
2015-03-31,380.0
2015-04-08,290.0
2015-04-15,1400.0
2015-04-22,640.0
2015-04-29,6200.0
2015-11-04,1000.0
2015-11-11,130.0
2015-11-18,280.0
2015-12-02,74.0
2015-12-16,81.0
2015-12-22,91.0
2015-12-29,4500.0
2016-01-06,150.0
2016-01-13,270.0
2016-01-20,1200.0
2016-01-27,200.0
2016-02-03,200.0
2016-02-10,340.0
2016-02-17,520.0
2016-02-24,870.0
2016-03-02,87.0
2016-03-09,7900.0
2016-03-16,800.0
2016-03-22,520.0
2016-03-30,450.0
2016-04-06,93.0
2016-04-13,86.0
2016-04-20,220.0
2016-04-27,80.0
2016-11-02,2900.0
2016-11-09,1100.0
2016-11-16,560.0
2016-11-23,280.0
2016-11-29,570.0
2016-12-05,54.0
2016-12-14,140.0
2016-12-21,49.0
2016-12-29,49.0
2017-01-05,73.0
2017-01-11,98.0
2017-01-18,54.0
2017-01-26,600.0
2017-02-01,360.0
2017-02-09,85.0
2017-02-15,76.0
2017-02-22,1500.0
2017-03-01,36.0
2017-03-08,1600.0
2017-03-15,740.0
2017-03-22,100.0
2017-03-29,220.0
2017-04-20,820.0
2017-04-26,54.0
2017-11-07,379.0
2017-11-13,435.0
2017-11-19,42.0
2017-11-28,84.0
2017-12-04,134.0
2017-12-10,198.0
