day,1 day flow,3 days max flow,3 days total flow
2016-11-29,1500.35,2056.19,5244.969999999999
2016-12-06,1537.0,1649.85,4823.95
2016-12-12,2502.4,4514.57,7999.259999999999
2016-12-19,1537.0,2943.76,6383.1
2016-12-28,1549.32,1549.32,4005.88
2017-01-04,5397.09,13132.69,30295.379999999997
2017-01-09,1611.75,2171.06,5939.34
2017-01-16,12980.58,12980.58,23646.65
2017-01-24,8992.76,8992.76,19251.93
2017-01-30,1834.02,2599.49,6648.41
2017-02-07,3434.92,7071.85,15085.990000000002
2017-02-13,1873.84,2469.78,6468.76
2017-02-20,1419.2,4523.02,8700.14
2017-02-27,743.9,842.5,2378.8199999999997
2017-03-06,600.47,784.23,1956.96
2017-03-13,7599.42,7599.42,10009.95
2017-03-20,543.13,655.83,1800.2800000000002
2017-03-27,4538.23,12985.96,18816.03
2017-04-03,4351.33,4351.33,7282.12
2017-04-10,2336.0,5808.1,11322.25
2017-04-18,4514.67,5894.6,14599.97
2017-04-26,899.24,1111.8,3002.05
2017-11-05,2155.97,4171.43,7010.25
2017-11-11,780.47,4815.04,6513.610000000001
2017-11-20,460.99,505.01,1447.74
2017-11-28,377.18,393.1,1155.42
2017-12-02,345.41,616.07,1318.79
2017-12-11,789.05,789.05,1365.1
2017-12-17,262.39,286.05,818.72
2017-12-26,262.39,262.39,720.31
2018-01-02,230.92,230.92,688.8399999999999
2018-01-07,1236.17,1590.33,3175.88
2018-01-13,888.88,9085.02,12297.53
2018-02-03,7674.52,7674.52,8119.51
2018-02-12,18183.64,18183.64,18878.46
2018-02-18,1393.8,2792.09,5419.63
2018-02-24,2499.05,41760.06,46791.71
2018-03-05,963.32,1255.83,3305.58
2018-03-11,692.68,938.03,2487.2799999999997
2018-03-17,543.9,574.28,1680.1799999999998
2018-03-26,11766.66,11766.66,24950.96
2018-04-04,840.8,1127.22,2881.1499999999996
2018-04-07,678.83,832.98,2247.1
2018-04-14,9271.2,14547.52,28253.980000000003
2018-04-22,1346.77,1835.52,4736.110000000001
2018-11-11,5765.84,14257.9,31060.28
2018-11-17,972.08,1239.57,3286.3900000000003
2018-11-25,579.06,963.69,2198.52
2018-12-01,548.88,850.58,2022.5300000000002
2018-12-09,480.76,1124.54,2196.72
2018-12-23,1124.54,1566.26,2690.8
2018-12-29,548.88,782.23,1941.3899999999999
2019-01-06,1017.02,5765.84,8361.69
2019-01-12,1017.02,1250.4,3141.54
2019-01-21,1815.65,1815.65,3492.96
2019-01-26,662.44,1455.95,2691.3300000000004
2019-02-09,475.36,572.94,1551.0900000000001
2019-02-17,514.06,1432.11,2370.52
2019-02-23,12436.68,12436.68,13215.42
2019-03-03,655.77,835.1,2201.16
2019-03-09,2331.81,2331.81,4376.8
2019-03-16,1305.48,7568.85,11984.15
2019-03-23,525.5,597.67,1678.0
2019-03-31,519.76,2672.02,3808.44
2019-04-06,519.76,689.53,1776.1499999999999
2019-04-14,947.02,3164.75,6274.460000000001
2019-04-28,486.21,486.21,1334.99
