day,1 day rainfall,2 days max rainfall,2 days total rainfall
2016-11-29,0.0,7.88,7.88
2016-12-06,0.0,2.82,2.82
2016-12-12,0.56,19.13,19.689999999999998
2016-12-19,0.56,0.56,0.56
2016-12-28,22.68,22.68,22.68
2017-01-04,25.41,25.41,37.24
2017-01-09,0.0,0.0,0.0
2017-01-16,44.61,44.61,44.61
2017-01-24,25.97,25.97,50.25
2017-01-30,0.0,0.0,0.0
2017-02-07,2.83,2.83,3.39
2017-02-13,10.16,10.16,10.16
2017-02-20,1.13,1.13,1.13
2017-02-27,0.0,0.0,0.0
2017-03-06,1.69,3.39,5.08
2017-03-13,25.4,25.4,47.42
2017-03-20,0.0,0.0,0.0
2017-03-27,4.52,24.28,28.8
2017-04-03,10.17,10.17,10.17
2017-04-10,0.0,0.0,0.0
2017-04-18,13.55,13.55,14.68
2017-04-26,0.0,0.0,0.0
2017-11-05,0.59,12.87,13.459999999999999
2017-11-11,0.0,0.0,0.0
2017-11-20,0.0,0.0,0.0
2017-11-28,0.0,0.0,0.0
2017-12-02,0.0,0.0,0.0
2017-12-11,0.56,0.56,0.56
2017-12-17,0.0,0.0,0.0
2017-12-26,0.0,0.56,0.56
2018-01-02,2.25,2.25,2.25
2018-01-07,0.0,35.97,35.97
2018-01-13,0.0,2.81,2.81
2018-01-23,1.12,1.12,1.12
2018-01-28,0.0,0.0,0.0
2018-02-03,0.56,31.47,32.03
2018-02-12,47.78,47.78,52.84
2018-02-18,0.0,11.81,11.81
2018-02-24,0.0,21.32,21.32
2018-03-05,0.0,0.0,0.0
2018-03-11,0.0,0.55,0.55
2018-03-17,2.21,2.76,4.97
2018-03-26,1.66,16.02,17.68
2018-04-04,5.53,5.53,5.53
2018-04-07,0.0,0.0,0.0
2018-04-14,0.0,31.5,31.5
2018-04-22,1.11,3.31,4.42
2018-11-11,0.56,26.46,27.02
2018-11-17,0.0,0.0,0.0
2018-11-25,1.13,1.13,1.13
2018-12-01,0.0,0.0,0.0
2018-12-09,0.0,0.0,0.0
2018-12-23,1.69,1.69,2.82
2018-12-29,0.0,0.0,0.0
2019-01-06,0.56,0.56,0.56
2019-01-12,0.56,6.19,6.75
2019-01-21,3.83,4.38,8.21
2019-01-26,0.0,3.83,3.83
2019-02-09,0.0,0.0,0.0
2019-02-17,0.0,7.12,7.12
2019-02-23,51.27,51.27,55.1
2019-03-03,0.0,0.0,0.0
2019-03-09,16.42,16.42,16.42
2019-03-16,0.0,32.28,32.28
2019-03-23,0.0,0.0,0.0
2019-03-31,0.0,0.0,0.0
2019-04-06,0.0,0.0,0.0
2019-04-14,0.0,2.83,2.83
2019-04-28,13.0,13.0,13.0
